mode_key,mode,algorithm_key,Methode,seed,NMI,ARI,ACC,BalancedACC,F1Macro,RareACC,UltraRareACC,n_eval,n_rare_cells,n_ultrarare_cells,min_class_support
transductive,Transductif,pca_leiden,PCA+Leiden,4,0.6651716351956916,0.4773656175614132,0.5565468204990609,0.4545482766285744,0.44453506772752055,0.5957086391869001,0.4756756756756757,14908.0,1771.0,185.0,7.0
transductive,Transductif,sc_mae,scMAE,0,0.6821706242711062,0.5660627886544064,0.6491816474376174,0.5718673850034335,0.5055669808377583,0.427442123094297,0.8864864864864865,14908.0,1771.0,185.0,7.0
transductive,Transductif,sc_mae,scMAE,1,0.6876460177432991,0.5309398917777488,0.6143010464180306,0.5242716987968664,0.4716347248156026,0.45962732919254656,0.7297297297297297,14908.0,1771.0,185.0,7.0
transductive,Transductif,sc_mae,scMAE,2,0.6864646848174651,0.5256730295893984,0.6309364099812181,0.5888894179204976,0.6018268459771486,0.6188594014680971,0.7297297297297297,14908.0,1771.0,185.0,7.0
transductive,Transductif,sc_mae,scMAE,3,0.6874472636478585,0.5230927702035881,0.6356989535819694,0.59940086052362,0.5259654176763587,0.6386222473178995,0.7567567567567568,14908.0,1771.0,185.0,7.0
transductive,Transductif,sc_mae,scMAE,4,0.685970243485234,0.5217624387075761,0.629125301851355,0.4729170300789899,0.4528935504813872,0.6002258610954263,0.40540540540540543,14908.0,1771.0,185.0,7.0
transductive,Transductif,scdeepcluster,scDeepCluster,0,0.7082711718514391,0.4723776447427078,0.5257579822913871,0.49031743303814235,0.48407049906242533,0.7425183512140033,0.5243243243243243,14908.0,1771.0,185.0,7.0
transductive,Transductif,scdeepcluster,scDeepCluster,1,0.7123515340737857,0.4814031765879466,0.5413871746713174,0.485795581987983,0.4853265045781529,0.6996047430830039,0.4702702702702703,14908.0,1771.0,185.0,7.0
transductive,Transductif,scdeepcluster,scDeepCluster,2,0.6923349649703514,0.3996096989478625,0.48906627314193724,0.5307690026503726,0.5467324269397974,0.8797289666854884,0.44324324324324327,14908.0,1771.0,185.0,7.0
transductive,Transductif,scdeepcluster,scDeepCluster,3,0.6879823322197928,0.3750477376032671,0.44949020660048294,0.5013969870289793,0.5401729548780925,0.8345567476002259,0.6054054054054054,14908.0,1771.0,185.0,7.0
transductive,Transductif,scdeepcluster,scDeepCluster,4,0.7187203692421976,0.5145665251960632,0.6421384491548162,0.668881816432811,0.6678686060197668,0.8650479954827781,0.7189189189189189,14908.0,1771.0,185.0,7.0
transductive,Transductif,scname,scNAME,0,0.7067775625163265,0.5338669961346209,0.5853903944191038,0.4505652571367359,0.443292561415165,0.5448898927159797,0.44324324324324327,14908.0,1771.0,185.0,7.0
transductive,Transductif,scname,scNAME,1,0.7278356126009969,0.5201019835279344,0.5857928628924067,0.44763111813347517,0.44415434853893976,0.47035573122529645,0.43243243243243246,14908.0,1771.0,185.0,7.0
transductive,Transductif,scname,scNAME,2,0.6505885777428129,0.4026002673329971,0.5028172793131205,0.4246442156010007,0.39380249291990266,0.47995482778091475,0.44324324324324327,14908.0,1771.0,185.0,7.0
transductive,Transductif,scname,scNAME,3,0.719217412665132,0.5423567979113213,0.6385162328950899,0.5525640126984376,0.5240636236339896,0.616600790513834,0.4648648648648649,14908.0,1771.0,185.0,7.0
transductive,Transductif,scname,scNAME,4,0.7128833444252793,0.5358922095777598,0.6071907700563456,0.47148298804613714,0.4545020130202075,0.5448898927159797,0.4594594594594595,14908.0,1771.0,185.0,7.0
transductive,Transductif,sccdcg,scCDCG,0,0.6657712019696785,0.5510117439004417,0.6200697612020392,0.46601616953777064,0.43625554177699694,0.704686617730096,0.15135135135135136,14908.0,1771.0,185.0,7.0
transductive,Transductif,sccdcg,scCDCG,1,0.7054412611445307,0.5971896568816458,0.6491145693587336,0.45022888112248444,0.45107579161429395,0.6866177300959909,0.08108108108108109,14908.0,1771.0,185.0,7.0
transductive,Transductif,sccdcg,scCDCG,2,0.6681986198859065,0.6129610279790317,0.6581701100080494,0.43578365328442975,0.4335315981819647,0.6132128740824393,0.12972972972972974,14908.0,1771.0,185.0,7.0
transductive,Transductif,sccdcg,scCDCG,3,0.7267245992021766,0.6862351239216072,0.7197477864233969,0.4716601271577015,0.45974298415952297,0.6600790513833992,0.22162162162162163,14908.0,1771.0,185.0,7.0
transductive,Transductif,sccdcg,scCDCG,4,0.7311859622885595,0.7646239416147886,0.7401395224040783,0.4880555966252747,0.4532376795609707,0.6290231507622812,0.21621621621621623,14908.0,1771.0,185.0,7.0
