family,dataset,method,source_method,metric,value
Correction batch,Tabula Muris liver,Harmony,Harmony,RareACC,0.1345291479820627
Correction batch,Tabula Muris liver,Harmony,Harmony,UltraRareACC,
Correction batch,Tabula Muris liver,Scanorama,Scanorama,ACC,0.7191325638335082
Correction batch,Tabula Muris liver,Scanorama,Scanorama,ARI,0.5543951034735616
Correction batch,Tabula Muris liver,Scanorama,Scanorama,Batch correction,
Correction batch,Tabula Muris liver,Scanorama,Scanorama,RareACC,0.1345291479820627
Correction batch,Tabula Muris liver,Scanorama,Scanorama,UltraRareACC,
Correction batch,Tabula Muris liver,scRAW,scRAW (trial_0017),ACC,0.745715285064708
Correction batch,Tabula Muris liver,scRAW,scRAW (trial_0017),ARI,0.6827909308919632
Correction batch,Tabula Muris liver,scRAW,scRAW (trial_0017),Batch correction,
Correction batch,Tabula Muris liver,scRAW,scRAW (trial_0017),RareACC,0.3228699551569506
Correction batch,Tabula Muris liver,scRAW,scRAW (trial_0017),UltraRareACC,
Correction batch,Tabula Muris liver,scVI,scvi,ACC,0.6876530255334032
Correction batch,Tabula Muris liver,scVI,scvi,ARI,0.5185440830144872
Correction batch,Tabula Muris liver,scVI,scvi,Batch correction,
Correction batch,Tabula Muris liver,scVI,scvi,RareACC,0.1300448430493273
Correction batch,Tabula Muris liver,scVI,scvi,UltraRareACC,
Méthodes généralistes,BBAG094 Zeisel,PCA+Leiden,pca_leiden,ACC,0.7904191616766467
Méthodes généralistes,BBAG094 Zeisel,PCA+Leiden,pca_leiden,ARI,0.6323066051146811
Méthodes généralistes,BBAG094 Zeisel,PCA+Leiden,pca_leiden,Batch correction,0.3791070589542258
Méthodes généralistes,BBAG094 Zeisel,PCA+Leiden,pca_leiden,RareACC,0.4864864864864865
Méthodes généralistes,BBAG094 Zeisel,PCA+Leiden,pca_leiden,UltraRareACC,0.5555555555555556
Méthodes généralistes,BBAG094 Zeisel,scMAE,scMAE,ACC,0.8320026613439787
Méthodes généralistes,BBAG094 Zeisel,scMAE,scMAE,ARI,0.6915778760086706
Méthodes généralistes,BBAG094 Zeisel,scMAE,scMAE,Batch correction,0.4079239860378605
Méthodes généralistes,BBAG094 Zeisel,scMAE,scMAE,RareACC,0.772972972972973
Méthodes généralistes,BBAG094 Zeisel,scMAE,scMAE,UltraRareACC,0.5555555555555555
Méthodes généralistes,BBAG094 Zeisel,scNAME,scNAME,ACC,0.7791084497671324
Méthodes généralistes,BBAG094 Zeisel,scNAME,scNAME,ARI,0.6446862569069801
Méthodes généralistes,BBAG094 Zeisel,scNAME,scNAME,Batch correction,0.3819747280121182
Méthodes généralistes,BBAG094 Zeisel,scNAME,scNAME,RareACC,0.8756756756756757
Méthodes généralistes,BBAG094 Zeisel,scNAME,scNAME,UltraRareACC,0.7037037037037037
Méthodes généralistes,BBAG094 Zeisel,scRAW,scRAW (trial_0017),ACC,0.6407185628742516
Méthodes généralistes,BBAG094 Zeisel,scRAW,scRAW (trial_0017),ARI,0.4301883295024661
Méthodes généralistes,BBAG094 Zeisel,scRAW,scRAW (trial_0017),Batch correction,0.4000360971162749
Méthodes généralistes,BBAG094 Zeisel,scRAW,scRAW (trial_0017),RareACC,0.6108108108108108
Méthodes généralistes,BBAG094 Zeisel,scRAW,scRAW (trial_0017),UltraRareACC,0.5555555555555556
Méthodes généralistes,BBAG094 Zeisel,scVI,scvi,ACC,0.7162341982701265
Méthodes généralistes,BBAG094 Zeisel,scVI,scvi,ARI,0.5133594314543674
Méthodes généralistes,BBAG094 Zeisel,scVI,scvi,Batch correction,0.4423447401311677
Méthodes généralistes,BBAG094 Zeisel,scVI,scvi,RareACC,0.6270270270270271
Méthodes généralistes,BBAG094 Zeisel,scVI,scvi,UltraRareACC,0.5555555555555556
Méthodes généralistes,BBAG094 spleen,PCA+Leiden,pca_leiden,ACC,0.6063651591289783
Méthodes généralistes,BBAG094 spleen,PCA+Leiden,pca_leiden,ARI,0.4329535845203762
Méthodes généralistes,BBAG094 spleen,PCA+Leiden,pca_leiden,Batch correction,0.5542372781112341
Méthodes généralistes,BBAG094 spleen,PCA+Leiden,pca_leiden,RareACC,0.9918478260869564
Méthodes généralistes,BBAG094 spleen,PCA+Leiden,pca_leiden,UltraRareACC,0.9761904761904762
Méthodes généralistes,BBAG094 spleen,scMAE,scMAE,ACC,0.958856783919598
Méthodes généralistes,BBAG094 spleen,scMAE,scMAE,ARI,0.9195723061274058
Méthodes généralistes,BBAG094 spleen,scMAE,scMAE,Batch correction,0.5508830288905475
Méthodes généralistes,BBAG094 spleen,scMAE,scMAE,RareACC,0.7092391304347826
Méthodes généralistes,BBAG094 spleen,scMAE,scMAE,UltraRareACC,0.0
Méthodes généralistes,BBAG094 spleen,scNAME,scNAME,ACC,0.8685092127303182
Méthodes généralistes,BBAG094 spleen,scNAME,scNAME,ARI,0.6891157731172967
Méthodes généralistes,BBAG094 spleen,scNAME,scNAME,Batch correction,0.6748795138601138
Méthodes généralistes,BBAG094 spleen,scNAME,scNAME,RareACC,0.9130434782608696
Méthodes généralistes,BBAG094 spleen,scNAME,scNAME,UltraRareACC,0.7857142857142857
Méthodes généralistes,BBAG094 spleen,scRAW,scRAW (trial_0017),ACC,0.8291457286432161
Méthodes généralistes,BBAG094 spleen,scRAW,scRAW (trial_0017),ARI,0.8700744463231944
Méthodes généralistes,BBAG094 spleen,scRAW,scRAW (trial_0017),Batch correction,0.7909291345199329
Méthodes généralistes,BBAG094 spleen,scRAW,scRAW (trial_0017),RareACC,0.5285326086956522
Méthodes généralistes,BBAG094 spleen,scRAW,scRAW (trial_0017),UltraRareACC,0.9761904761904762
Méthodes généralistes,BBAG094 spleen,scVI,scvi,ACC,0.7958542713567839
Méthodes généralistes,BBAG094 spleen,scVI,scvi,ARI,0.5720050774011771
Méthodes généralistes,BBAG094 spleen,scVI,scvi,Batch correction,0.8365897766791757
Méthodes généralistes,BBAG094 spleen,scVI,scvi,RareACC,0.9334239130434784
Méthodes généralistes,BBAG094 spleen,scVI,scvi,UltraRareACC,1.0
Méthodes généralistes,Baron human pancreas,PCA+Leiden,pca_leiden,ACC,0.7271560275411366
Méthodes généralistes,Baron human pancreas,PCA+Leiden,pca_leiden,ARI,0.6657082726176691
