dataset,algorithm,variant,metric,mean,std,n
bbag094_spleen,scMAE,full_kmeans_triplet,ARI,0.8311036280748301,0.2017338595542955,5
bbag094_spleen,scMAE,full_kmeans_triplet,BalancedRareACC,0.5610582208895553,0.05467441921785878,5
bbag094_spleen,scMAE,full_kmeans_triplet,RareACC,0.74375,0.1032858951368264,5
bbag094_spleen,scMAE,full_kmeans_triplet,UltraRareACC,0.0,0.0,5
bbag094_spleen,scMAE,full_leiden,ARI,0.7533117752058667,0.1978476861581121,5
bbag094_spleen,scMAE,full_leiden,BalancedRareACC,0.598691904047976,0.05145320427466655,5
bbag094_spleen,scMAE,full_leiden,RareACC,0.8160326086956522,0.0970236183925978,5
bbag094_spleen,scMAE,full_leiden,UltraRareACC,0.0,0.0,5
bbag094_spleen,scMAE,full_leiden_triplet,ARI,0.4335021354907841,0.0917785397757709,5
bbag094_spleen,scMAE,full_leiden_triplet,BalancedRareACC,0.5614817591204397,0.22044746022835732,5
bbag094_spleen,scMAE,full_leiden_triplet,RareACC,0.8152173913043479,0.172674662779109,5
bbag094_spleen,scMAE,full_leiden_triplet,UltraRareACC,0.1,0.2236067977499789,5
bbag094_zeisel,DESC,baseline,ARI,0.7573876823561123,0.0164723397379197,5
bbag094_zeisel,DESC,baseline,BalancedRareACC,0.3472619047619047,0.006262725375232015,5
bbag094_zeisel,DESC,baseline,RareACC,0.5016216216216216,0.0045224866299139,5
bbag094_zeisel,DESC,baseline,UltraRareACC,0.5777777777777777,0.0202860206483394,5
bbag094_zeisel,DESC,density_only,ARI,0.7760534176326129,0.0275222329681603,5
bbag094_zeisel,DESC,density_only,BalancedRareACC,0.3238710099424385,0.07467290650896256,5
bbag094_zeisel,DESC,density_only,RareACC,0.5448648648648649,0.043141772841589,5
bbag094_zeisel,DESC,density_only,UltraRareACC,0.3481481481481481,0.3181738014061411,5
bbag094_zeisel,DESC,density_only_triplet_kmeans,ARI,0.7846974977128136,0.0031056555463902,5
bbag094_zeisel,DESC,density_only_triplet_kmeans,BalancedRareACC,0.24850863422291997,0.06681424427396726,5
bbag094_zeisel,DESC,density_only_triplet_kmeans,RareACC,0.4756756756756757,0.0544579504854321,5
bbag094_zeisel,DESC,density_only_triplet_kmeans,UltraRareACC,0.1259259259259259,0.2815789304999735,5
bbag094_zeisel,DESC,full_kmeans,ARI,0.7844300631414992,0.0220921983215242,5
bbag094_zeisel,DESC,full_kmeans,BalancedRareACC,0.32438121402407116,0.07398215813876438,5
bbag094_zeisel,DESC,full_kmeans,RareACC,0.5459459459459459,0.0422175658157115,5
bbag094_zeisel,DESC,full_kmeans,UltraRareACC,0.3481481481481481,0.3181738014061411,5
bbag094_zeisel,DESC,full_kmeans_triplet,ARI,0.7849984107483484,0.0096729269470357,5
bbag094_zeisel,DESC,full_kmeans_triplet,BalancedRareACC,0.3408163265306122,0.08533663646484212,5
bbag094_zeisel,DESC,full_kmeans_triplet,RareACC,0.5275675675675676,0.0816735113384152,5
bbag094_zeisel,DESC,full_kmeans_triplet,UltraRareACC,0.4814814814814815,0.2709025710801443,5
bbag094_zeisel,DESC,full_leiden,ARI,0.7777475644931082,0.0257830079508225,5
bbag094_zeisel,DESC,full_leiden,BalancedRareACC,0.34353349031920455,0.05917512159214626,5
bbag094_zeisel,DESC,full_leiden,RareACC,0.5416216216216216,0.0465618496591524,5
bbag094_zeisel,DESC,full_leiden,UltraRareACC,0.4592592592592592,0.2574007459836156,5
bbag094_zeisel,DESC,full_leiden_triplet,ARI,0.7852128154390107,0.0037094774202121,5
bbag094_zeisel,DESC,full_leiden_triplet,BalancedRareACC,0.3037676609105181,0.1004458505349448,5
bbag094_zeisel,DESC,full_leiden_triplet,RareACC,0.5059459459459459,0.0923359698965801,5
bbag094_zeisel,DESC,full_leiden_triplet,UltraRareACC,0.3407407407407407,0.3114196001418949,5
bbag094_zeisel,scDeepCluster,baseline,ARI,0.3937700333267876,0.1547899830455658,5
bbag094_zeisel,scDeepCluster,baseline,BalancedRareACC,0.5077237048665619,0.18903781169593054,5
bbag094_zeisel,scDeepCluster,baseline,RareACC,0.7048648648648649,0.3418165711284749,5
bbag094_zeisel,scDeepCluster,baseline,UltraRareACC,0.5925925925925926,0.0585606974105255,5
bbag094_zeisel,scDeepCluster,density_only,ARI,0.4095559873449718,0.1491004159626537,5
bbag094_zeisel,scDeepCluster,density_only,BalancedRareACC,0.5033634222919937,0.1831895328164045,5
bbag094_zeisel,scDeepCluster,density_only,RareACC,0.774054054054054,0.1861297017875146,5
bbag094_zeisel,scDeepCluster,density_only,UltraRareACC,0.362962962962963,0.332715476762603,5
bbag094_zeisel,scDeepCluster,density_only_triplet_kmeans,ARI,0.6846728834522237,0.0973624180354354,5
bbag094_zeisel,scDeepCluster,density_only_triplet_kmeans,BalancedRareACC,0.4646729461015175,0.10954875464117732,5
bbag094_zeisel,scDeepCluster,density_only_triplet_kmeans,RareACC,0.6908108108108109,0.1269062105152794,5
bbag094_zeisel,scDeepCluster,density_only_triplet_kmeans,UltraRareACC,0.4592592592592592,0.1970286826410427,5
bbag094_zeisel,scDeepCluster,full_kmeans,ARI,0.4432999178475228,0.1652929212520028,5
bbag094_zeisel,scDeepCluster,full_kmeans,BalancedRareACC,0.5702276295133438,0.09706290210712513,5
bbag094_zeisel,scDeepCluster,full_kmeans,RareACC,0.8486486486486488,0.0862327358569936,5
bbag094_zeisel,scDeepCluster,full_kmeans,UltraRareACC,0.4222222222222222,0.2852092341952363,5
bbag094_zeisel,scDeepCluster,full_kmeans_triplet,ARI,0.6690920522735537,0.0957454636283991,5
bbag094_zeisel,scDeepCluster,full_kmeans_triplet,BalancedRareACC,0.45595238095238094,0.09064250301706274,5
bbag094_zeisel,scDeepCluster,full_kmeans_triplet,RareACC,0.6756756756756757,0.1022750698833756,5
bbag094_zeisel,scDeepCluster,full_kmeans_triplet,UltraRareACC,0.4814814814814814,0.2095131203515696,5
bbag094_zeisel,scDeepCluster,full_leiden,ARI,0.4115496684928406,0.0784056879537588,5
bbag094_zeisel,scDeepCluster,full_leiden,BalancedRareACC,0.5988343799058085,0.051110582646373845,5
bbag094_zeisel,scDeepCluster,full_leiden,RareACC,0.8735135135135137,0.0390912102308423,5
bbag094_zeisel,scDeepCluster,full_leiden,UltraRareACC,0.5259259259259259,0.1725305881311424,5
bbag094_zeisel,scDeepCluster,full_leiden_triplet,ARI,0.5772914509772873,0.1091032333721933,5
bbag094_zeisel,scDeepCluster,full_leiden_triplet,BalancedRareACC,0.37822998430141286,0.03922700339322948,5
bbag094_zeisel,scDeepCluster,full_leiden_triplet,RareACC,0.5913513513513513,0.0426650535365861,5
bbag094_zeisel,scDeepCluster,full_leiden_triplet,UltraRareACC,0.474074074074074,0.0482903881866862,5
bbag094_zeisel,scMAE,baseline,ARI,0.6842944679116683,0.0075533259217989,5
bbag094_zeisel,scMAE,baseline,BalancedRareACC,0.5891378859236002,0.03965794822392857,5
bbag094_zeisel,scMAE,baseline,RareACC,0.8172972972972973,0.0586430436977968,5
bbag094_zeisel,scMAE,baseline,UltraRareACC,0.6074074074074074,0.0721984766282145,5
bbag094_zeisel,scMAE,density_only,ARI,0.6609093029839205,0.0036477359003955,5
bbag094_zeisel,scMAE,density_only,BalancedRareACC,0.5770748299319728,0.013415362144927974,5
bbag094_zeisel,scMAE,density_only,RareACC,0.798918918918919,0.0080175118779412,5
bbag094_zeisel,scMAE,density_only,UltraRareACC,0.5777777777777777,0.0496903994999953,5
bbag094_zeisel,scMAE,density_only_triplet_kmeans,ARI,0.5523252689018676,0.0265352486567641,5
bbag094_zeisel,scMAE,density_only_triplet_kmeans,BalancedRareACC,0.5914952904238618,0.1536512399087199,5
bbag094_zeisel,scMAE,density_only_triplet_kmeans,RareACC,0.774054054054054,0.0382983558571207,5
bbag094_zeisel,scMAE,density_only_triplet_kmeans,UltraRareACC,0.4814814814814815,0.3054152315272341,5
bbag094_zeisel,scMAE,full_kmeans,ARI,0.6573254544573597,0.0038000482845935,5
bbag094_zeisel,scMAE,full_kmeans,BalancedRareACC,0.5916261119832548,0.019646620352662663,5
bbag094_zeisel,scMAE,full_kmeans,RareACC,0.8064864864864865,0.0110777846118482,5
bbag094_zeisel,scMAE,full_kmeans,UltraRareACC,0.6370370370370371,0.0759033390071082,5
bbag094_zeisel,scMAE,full_kmeans_triplet,ARI,0.5046825864881541,0.0475188162886864,5
bbag094_zeisel,scMAE,full_kmeans_triplet,BalancedRareACC,0.6321363160648875,0.10154013970263388,5
bbag094_zeisel,scMAE,full_kmeans_triplet,RareACC,0.7956756756756758,0.0149993912708233,5
bbag094_zeisel,scMAE,full_kmeans_triplet,UltraRareACC,0.6444444444444445,0.0672811189799443,5
bbag094_zeisel,scMAE,full_leiden,ARI,0.634921660142237,0.0521985196252508,5
bbag094_zeisel,scMAE,full_leiden,BalancedRareACC,0.5981619570905286,0.0211515326822796,5
bbag094_zeisel,scMAE,full_leiden,RareACC,0.8097297297297297,0.0149993912708233,5
bbag094_zeisel,scMAE,full_leiden,UltraRareACC,0.6666666666666666,0.0641500299099585,5
bbag094_zeisel,scMAE,full_leiden_triplet,ARI,0.4267885297970658,0.1189920252412378,5
bbag094_zeisel,scMAE,full_leiden_triplet,BalancedRareACC,0.5441287284144427,0.06639706846466256,5
bbag094_zeisel,scMAE,full_leiden_triplet,RareACC,0.8194594594594594,0.0390912102308422,5
bbag094_zeisel,scMAE,full_leiden_triplet,UltraRareACC,0.4592592592592591,0.2574007459836155,5
kang_pbmc,DESC,baseline,ARI,0.6520228925258991,0.0172317140311204,5
kang_pbmc,DESC,baseline,BalancedRareACC,0.6625344530577089,0.18807360112662513,5
kang_pbmc,DESC,baseline,RareACC,0.6785162287480679,0.1731687347252515,5
kang_pbmc,DESC,baseline,UltraRareACC,0.6148837209302325,0.2639181412660857,5
kang_pbmc,DESC,density_only,ARI,0.6528808347810031,0.0116818075888965,5
kang_pbmc,DESC,density_only,BalancedRareACC,0.47073535745047373,0.20671585318600552,5
kang_pbmc,DESC,density_only,RareACC,0.4080370942812982,0.2669475785192448,5
kang_pbmc,DESC,density_only,UltraRareACC,0.6576744186046511,0.1445830992190057,5
kang_pbmc,DESC,density_only_triplet_kmeans,ARI,0.6634917010670179,0.0150005724567517,5
kang_pbmc,DESC,density_only_triplet_kmeans,BalancedRareACC,0.7682611972437554,0.054672677850210655,5
kang_pbmc,DESC,density_only_triplet_kmeans,RareACC,0.7613601236476043,0.067065291122465,5
kang_pbmc,DESC,density_only_triplet_kmeans,UltraRareACC,0.7888372093023255,0.0319883699796268,5
kang_pbmc,DESC,full_kmeans,ARI,0.6450010523461325,0.0118762787814525,5
kang_pbmc,DESC,full_kmeans,BalancedRareACC,0.6556621447028423,0.25087928148182725,5
kang_pbmc,DESC,full_kmeans,RareACC,0.6253477588871716,0.2868663559664774,5
kang_pbmc,DESC,full_kmeans,UltraRareACC,0.746046511627907,0.1503772073451057,5
kang_pbmc,DESC,full_kmeans_triplet,ARI,0.6598888356831972,0.0146860558325309,5
kang_pbmc,DESC,full_kmeans_triplet,BalancedRareACC,0.7959851421188631,0.0630961218076243,5
kang_pbmc,DESC,full_kmeans_triplet,RareACC,0.8061823802163832,0.045504586328804,5
kang_pbmc,DESC,full_kmeans_triplet,UltraRareACC,0.7655813953488372,0.1160276351334308,5
kang_pbmc,DESC,full_leiden,ARI,0.6449792598094166,0.0109164121727962,5
kang_pbmc,DESC,full_leiden,BalancedRareACC,0.5156901378122309,0.2578285420367954,5
kang_pbmc,DESC,full_leiden,RareACC,0.4612055641421947,0.2890068512098777,5
kang_pbmc,DESC,full_leiden,UltraRareACC,0.6781395348837209,0.1799705522453611,5
kang_pbmc,DESC,full_leiden_triplet,ARI,0.6623684197534383,0.0231401488306524,5
kang_pbmc,DESC,full_leiden_triplet,BalancedRareACC,0.6953789836347977,0.20418506636116537,5
kang_pbmc,DESC,full_leiden_triplet,RareACC,0.7261205564142195,0.1639256394778408,5
kang_pbmc,DESC,full_leiden_triplet,UltraRareACC,0.6037209302325581,0.3344538584775391,5
kang_pbmc,scDeepCluster,baseline,ARI,0.5108899179964672,0.0759747064712502,5
kang_pbmc,scDeepCluster,baseline,BalancedRareACC,0.3002492877492878,0.10943640424142616,5
kang_pbmc,scDeepCluster,baseline,RareACC,0.27375,0.1558956920407841,5
kang_pbmc,scDeepCluster,baseline,UltraRareACC,0.3759615384615384,0.1653035355814861,5
