phase,dataset,algorithm,variant,seed,metric,value,source_path
full,bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,46,ARI,0.4473360012948149,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,46,RareACC,0.3682065217391304,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,DESC,density_only_triplet_kmeans,42,ARI,0.3730937551474263,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/desc/runs/seed_42/results/analysis_results.csv
full,bbag094_spleen,DESC,density_only_triplet_kmeans,42,RareACC,0.9307065217391304,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/desc/runs/seed_42/results/analysis_results.csv
full,bbag094_spleen,DESC,density_only_triplet_kmeans,43,ARI,0.3457486510061565,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/desc/runs/seed_43/results/analysis_results.csv
full,bbag094_spleen,DESC,density_only_triplet_kmeans,43,RareACC,0.9891304347826086,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/desc/runs/seed_43/results/analysis_results.csv
full,bbag094_spleen,DESC,density_only_triplet_kmeans,44,ARI,0.3620876999818775,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/desc/runs/seed_44/results/analysis_results.csv
full,bbag094_spleen,DESC,density_only_triplet_kmeans,44,RareACC,0.9279891304347826,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/desc/runs/seed_44/results/analysis_results.csv
full,bbag094_spleen,DESC,density_only_triplet_kmeans,45,ARI,0.3413163269169266,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/desc/runs/seed_45/results/analysis_results.csv
full,bbag094_spleen,DESC,density_only_triplet_kmeans,45,RareACC,0.9239130434782608,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/desc/runs/seed_45/results/analysis_results.csv
full,bbag094_spleen,DESC,density_only_triplet_kmeans,46,ARI,0.3171532220578416,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/desc/runs/seed_46/results/analysis_results.csv
full,bbag094_spleen,DESC,density_only_triplet_kmeans,46,RareACC,0.6480978260869565,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/desc/runs/seed_46/results/analysis_results.csv
full,bbag094_spleen,scMAE,full_kmeans,42,ARI,0.5451331508566748,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/full_kmeans/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,full_kmeans,42,RareACC,0.9144021739130436,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/full_kmeans/scrbenchmark/results/analysis_results.csv
