phase,dataset,algorithm,variant,metric,mean,std,min,max,n
full,bbag094_spleen,scMAE,full_leiden,runtime,657.5047168254853,335.351592709129,349.2436797618866,1128.779402256012,5
full,bbag094_spleen,scMAE,full_leiden_triplet,ACC,0.6536013400335008,0.08058845716773616,0.6041666666666666,0.7954355108877722,5
full,bbag094_spleen,scMAE,full_leiden_triplet,ARI,0.4525023422749495,0.0712183763178456,0.3686716506257698,0.5655257355143254,5
full,bbag094_spleen,scMAE,full_leiden_triplet,BalancedACC,0.5792006801516931,0.12537776094322967,0.4155262492083714,0.7273281680556745,5
full,bbag094_spleen,scMAE,full_leiden_triplet,F1_Macro,0.5470828430659833,0.11718731290798949,0.417153590092168,0.6744213389112537,5
full,bbag094_spleen,scMAE,full_leiden_triplet,NMI,0.5864583471149085,0.0423399413838046,0.5445079244863866,0.6398039397908618,5
full,bbag094_spleen,scMAE,full_leiden_triplet,RareACC,0.7665760869565217,0.16843552227902056,0.5828804347826086,0.9157608695652174,5
full,bbag094_spleen,scMAE,full_leiden_triplet,Silhouette,0.733595860004425,0.05786084752339903,0.6540512442588806,0.7835807800292969,5
full,bbag094_spleen,scMAE,full_leiden_triplet,runtime,838.140503025055,422.24152847048873,311.94218850135803,1445.4990558624268,5
full,bbag094_zeisel,DESC,baseline,ACC,0.8129740518962075,0.021282173504707416,0.7920825016633399,0.8396540252827678,5
full,bbag094_zeisel,DESC,baseline,ARI,0.7464936047220637,0.00974103076063876,0.7346544222402039,0.7614115018038352,5
full,bbag094_zeisel,DESC,baseline,BalancedACC,0.6428372030257946,0.02003518776075372,0.6213281751517583,0.6694364142007305,5
full,bbag094_zeisel,DESC,baseline,F1_Macro,0.557737508846927,0.057653309594263014,0.4873088798086964,0.6177669996866862,5
full,bbag094_zeisel,DESC,baseline,NMI,0.709659873784213,0.008251496502415951,0.6974206478089338,0.7198618561470763,5
full,bbag094_zeisel,DESC,baseline,RareACC,0.5016216216216216,0.007047786384002862,0.4918918918918919,0.5081081081081081,5
full,bbag094_zeisel,DESC,baseline,Silhouette,0.15167947113513947,0.012919659227712741,0.1402962356805801,0.1657523214817047,5
full,bbag094_zeisel,DESC,baseline,runtime,46.493682289123534,7.918729765322718,38.804953813552856,57.12656712532044,5
full,bbag094_zeisel,DESC,density_only,ACC,0.8330006653359947,0.026213309405311903,0.7980705256154358,0.8719228210246174,5
full,bbag094_zeisel,DESC,density_only,ARI,0.7562261265674713,0.021212581356717154,0.7430327739340171,0.7936908328331018,5
full,bbag094_zeisel,DESC,density_only,BalancedACC,0.660614731233594,0.02302319264555012,0.6270866456259351,0.691594664803435,5
full,bbag094_zeisel,DESC,density_only,F1_Macro,0.5992598104193982,0.05264083364937418,0.5106462330234823,0.6520938827342315,5
full,bbag094_zeisel,DESC,density_only,NMI,0.7175988777214813,0.015066156756353307,0.7067792497853118,0.7440102918266908,5
full,bbag094_zeisel,DESC,density_only,RareACC,0.49837837837837834,0.005921324946001766,0.4918918918918919,0.5027027027027027,5
full,bbag094_zeisel,DESC,density_only,Silhouette,0.17368717491626734,0.017676648908419662,0.1476484537124633,0.1935160905122757,5
full,bbag094_zeisel,DESC,density_only,runtime,47.714645576477054,2.455407705801062,45.64727425575256,50.45518255233765,5
full,bbag094_zeisel,DESC,density_only_triplet_kmeans,ACC,0.866333998669328,0.0037666479985943354,0.8602794411177644,0.8702594810379242,5
full,bbag094_zeisel,DESC,density_only_triplet_kmeans,ARI,0.7732233317063072,0.008785956504829495,0.7599688463370002,0.780881577015158,5
full,bbag094_zeisel,DESC,density_only_triplet_kmeans,BalancedACC,0.666541271895757,0.02792900054971846,0.6444587797555219,0.7042367708266111,5
full,bbag094_zeisel,DESC,density_only_triplet_kmeans,F1_Macro,0.6116251070239399,0.03172568370842608,0.5842727519481274,0.6474486433250278,5
full,bbag094_zeisel,DESC,density_only_triplet_kmeans,NMI,0.732085707264871,0.00592008556862469,0.7224516788079038,0.7376105093169602,5
full,bbag094_zeisel,DESC,density_only_triplet_kmeans,RareACC,0.5340540540540542,0.04070237966922531,0.5027027027027027,0.6054054054054054,5
full,bbag094_zeisel,DESC,density_only_triplet_kmeans,Silhouette,0.24100479185581203,0.0220014318990362,0.2133501917123794,0.2713455557823181,5
full,bbag094_zeisel,DESC,density_only_triplet_kmeans,runtime,51.89286289215088,3.0480194758006203,47.379723072052,55.14177083969116,5
full,bbag094_zeisel,DESC,full_kmeans,ACC,0.8337325349301397,0.026136570963065497,0.7980705256154358,0.8719228210246174,5
full,bbag094_zeisel,DESC,full_kmeans,ARI,0.7572769068844669,0.020603889292830038,0.7426921116221172,0.7936908328331018,5
full,bbag094_zeisel,DESC,full_kmeans,BalancedACC,0.6609342884081576,0.02291466906624821,0.6274016639409534,0.691594664803435,5
full,bbag094_zeisel,DESC,full_kmeans,F1_Macro,0.5997309957687745,0.052688536628701405,0.5108074407592028,0.6520938827342315,5
full,bbag094_zeisel,DESC,full_kmeans,NMI,0.7180228933067468,0.014829148323739714,0.7068720898658842,0.7440102918266908,5
full,bbag094_zeisel,DESC,full_kmeans,RareACC,0.49837837837837834,0.005921324946001766,0.4918918918918919,0.5027027027027027,5
full,bbag094_zeisel,DESC,full_kmeans,Silhouette,0.17164503633975978,0.01656640386543775,0.1473463326692581,0.193675011396408,5
full,bbag094_zeisel,DESC,full_kmeans,runtime,47.48610167503357,2.532193855508733,44.934038162231445,50.38633513450623,5
full,bbag094_zeisel,DESC,full_kmeans_triplet,ACC,0.8660013306719894,0.005171890828581503,0.8602794411177644,0.873253493013972,5
full,bbag094_zeisel,DESC,full_kmeans_triplet,ARI,0.7758714686860035,0.004060331291256255,0.77130938613693,0.7807417762176346,5
full,bbag094_zeisel,DESC,full_kmeans_triplet,BalancedACC,0.6755275821982839,0.03523212029359592,0.6287354002666945,0.7059663172227213,5
full,bbag094_zeisel,DESC,full_kmeans_triplet,F1_Macro,0.617692829994912,0.030015426331741514,0.5868800459533414,0.650267241961593,5
full,bbag094_zeisel,DESC,full_kmeans_triplet,NMI,0.733525830115874,0.0034131882085124375,0.730442302163462,0.7392552275324555,5
full,bbag094_zeisel,DESC,full_kmeans_triplet,RareACC,0.5502702702702702,0.08377506493431083,0.4162162162162162,0.6054054054054054,5
full,bbag094_zeisel,DESC,full_kmeans_triplet,Silhouette,0.23512701690196985,0.013838005918118174,0.2184437662363052,0.2514116466045379,5
full,bbag094_zeisel,DESC,full_kmeans_triplet,runtime,50.52597184181214,3.2071102465987384,46.31877088546753,55.3424129486084,5
full,bbag094_zeisel,DESC,full_leiden,ACC,0.8337325349301397,0.026152444468553186,0.7984031936127745,0.872255489021956,5
full,bbag094_zeisel,DESC,full_leiden,ARI,0.7573294402646289,0.0208919777843531,0.7433504722210477,0.7943753111351061,5
full,bbag094_zeisel,DESC,full_leiden,BalancedACC,0.6609475640214331,0.022846980145371017,0.6276580741973636,0.6917166160229472,5
