phase,dataset,algorithm,variant,seed,metric,value,source_type,source_path,preset,weight_component_mode,pseudo_label_method,triplet_enabled,triplet_pseudo_label_method
smoke,paul15_bone_marrow,scDeepCluster,density_only_triplet_kmeans,42,NMI,0.4996538728744414,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,scDeepCluster,density_only_triplet_kmeans,42,ARI,0.2832438106299816,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,scDeepCluster,density_only_triplet_kmeans,42,ACC,0.3721611721611721,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,scDeepCluster,density_only_triplet_kmeans,42,F1_Macro,0.2152061416484953,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,scDeepCluster,density_only_triplet_kmeans,42,BalancedACC,0.275551893640361,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,scDeepCluster,density_only_triplet_kmeans,42,RareACC,0.0610021786492374,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,scDeepCluster,density_only_triplet_kmeans,42,Silhouette,0.2588317751902216,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,scDeepCluster,density_only_triplet_kmeans,42,runtime,407.45955777168274,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,DESC,density_only_triplet_kmeans,42,NMI,0.5420979977804439,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/desc/runs/seed_42/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,DESC,density_only_triplet_kmeans,42,ARI,0.3155655721596311,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/desc/runs/seed_42/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,DESC,density_only_triplet_kmeans,42,ACC,0.3923076923076923,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/desc/runs/seed_42/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,DESC,density_only_triplet_kmeans,42,F1_Macro,0.2359135306728894,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/desc/runs/seed_42/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,DESC,density_only_triplet_kmeans,42,BalancedACC,0.3166820938779281,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/desc/runs/seed_42/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,DESC,density_only_triplet_kmeans,42,RareACC,0.130718954248366,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/desc/runs/seed_42/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,DESC,density_only_triplet_kmeans,42,Silhouette,0.1073561906814575,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/desc/runs/seed_42/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,DESC,density_only_triplet_kmeans,42,runtime,85.66491842269897,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/desc/runs/seed_42/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,scMAE,full_kmeans,42,NMI,0.6171311841221294,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/full_kmeans/scrbenchmark/results/analysis_results.csv,stable_Default,full,kmeans,0,kmeans
smoke,paul15_bone_marrow,scMAE,full_kmeans,42,ARI,0.3789302790192501,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/full_kmeans/scrbenchmark/results/analysis_results.csv,stable_Default,full,kmeans,0,kmeans
smoke,paul15_bone_marrow,scMAE,full_kmeans,42,ACC,0.4663003663003663,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/full_kmeans/scrbenchmark/results/analysis_results.csv,stable_Default,full,kmeans,0,kmeans
