phase,dataset,algorithm,variant,seed,metric,variant_value,baseline_value,delta_vs_baseline
full,kang_pbmc,scDeepCluster,full_leiden,43,Silhouette,0.4637488766502,0.4577024517310045,0.006046424919195492
full,kang_pbmc,scDeepCluster,full_leiden,43,runtime,2734.1433556079865,1444.5938143730164,1289.54954123497
full,kang_pbmc,scDeepCluster,full_leiden,44,NMI,0.6370814651319064,0.6191773194933774,0.017904145638529045
full,kang_pbmc,scDeepCluster,full_leiden,44,ARI,0.4751716954200401,0.5214401490590076,-0.04626845363896748
full,kang_pbmc,scDeepCluster,full_leiden,44,ACC,0.5883071411122873,0.6651331324810683,-0.07682599136878099
full,kang_pbmc,scDeepCluster,full_leiden,44,F1_Macro,0.5270332029267104,0.5079724319771552,0.01906077094955516
full,kang_pbmc,scDeepCluster,full_leiden,44,BalancedACC,0.5598350792699511,0.5615183877561112,-0.0016833084861600511
full,kang_pbmc,scDeepCluster,full_leiden,44,RareACC,0.103125,0.0828125,0.020312499999999997
full,kang_pbmc,scDeepCluster,full_leiden,44,Silhouette,0.4165897918304745,0.3723485802052072,0.044241211625267285
full,kang_pbmc,scDeepCluster,full_leiden,44,runtime,1755.9898369312286,1417.7787821292875,338.21105480194115
full,kang_pbmc,scDeepCluster,full_leiden,45,NMI,0.5863330355552009,0.6439040158981383,-0.057570980342937395
full,kang_pbmc,scDeepCluster,full_leiden,45,ARI,0.3997488805778269,0.494472776371363,-0.09472389579353607
full,kang_pbmc,scDeepCluster,full_leiden,45,ACC,0.5458838856770621,0.5434818011562577,0.0024020845208044816
full,kang_pbmc,scDeepCluster,full_leiden,45,F1_Macro,0.4939488615613547,0.4691497413500289,0.024799120211325798
full,kang_pbmc,scDeepCluster,full_leiden,45,BalancedACC,0.5504317274234203,0.5008894855368027,0.0495422418866176
full,kang_pbmc,scDeepCluster,full_leiden,45,RareACC,0.1515625,0.2171875,-0.06562500000000002
full,kang_pbmc,scDeepCluster,full_leiden,45,Silhouette,0.4679669354514253,0.4352433476060661,0.032723587845359225
full,kang_pbmc,scDeepCluster,full_leiden,45,runtime,3208.370418071747,1391.2714116573334,1817.0990064144135
full,kang_pbmc,scDeepCluster,full_leiden,46,NMI,0.6484755635442472,0.5736477933229656,0.07482777022128162
full,kang_pbmc,scDeepCluster,full_leiden,46,ARI,0.4983435959535893,0.4346322994840026,0.06371129646958668
full,kang_pbmc,scDeepCluster,full_leiden,46,ACC,0.549548082403713,0.536682680563472,0.012865401840240986
full,kang_pbmc,scDeepCluster,full_leiden,46,F1_Macro,0.465136829660434,0.4361539974912791,0.028982832169154926
